Distance (km),Elevation (m)
0.0,231.0
0.025021331005105757,231.0
0.048571820126193654,230.0
0.07331471161364063,230.0
0.09755238476308782,231.0
0.12126642122937356,231.0
0.1468495741279698,231.0
0.17007252817081206,231.0
0.1991898150345196,232.0
0.21973342945892158,233.0
0.2447714461089691,233.0
0.26450743309376923,234.0
0.2901381117023094,237.0
0.2960387271562406,237.0
0.3197731429921917,236.0
0.34400186776033626,236.0
0.36524245386582016,238.0
0.3900313803616423,242.0
0.4147173527123014,245.0
0.43832009278703377,245.0
0.46121847919277875,246.0
0.4855793788066116,245.0
0.5106385473940624,251.0
0.5348873633268919,255.0
0.564249709083799,258.0
0.5862529388772205,262.0
0.6129057741879809,270.0
0.6243647233914297,271.0
0.6370048753875576,274.0
0.6528208434174751,277.0
0.6761462023906697,283.0
0.7000763905255746,287.0
0.7234869200481132,291.0
0.7475393442912002,297.0
0.7726128689310665,305.0
0.7975514056600994,309.0
0.8226194690885499,310.0
0.8476158442792021,313.0
0.8742129890472963,318.0
0.8985145124804259,328.0
0.9202675479859611,333.0
0.945098581727763,342.0
0.9681456354780114,349.0
0.9948408561417764,356.0
1.0194151357489918,362.0
1.0403027473554287,368.0
1.0675878164388373,376.0
1.089420436324531,386.0
1.1108419947193342,395.0
1.1243833265700875,397.0
1.1443794824991784,402.0
1.1655135341469762,406.0
1.1909061910338306,413.0
1.2160299013802744,418.0
1.225669315556853,420.0
1.25171995170212,424.0
1.2787568006497871,427.0
1.3047944143278432,432.0
1.3253366031303253,437.0
1.3518329947703676,444.0
1.378974625359861,449.0
1.4005413496844323,451.0
1.4240378915693803,450.0
1.4455851309366199,446.0
1.4685974600899325,445.0
1.492016145138545,452.0
1.5186691347567145,462.0
1.5432441644588522,467.0
1.5643130257598257,468.0
1.5914440117326198,473.0
1.616988667421152,476.0
1.6430483440880626,480.0
1.667971700724541,484.0
1.6783375043263395,485.0
1.7040767846865108,491.0
1.7283172684882961,496.0
1.7535095067652315,507.0
1.777125707387311,512.0
1.803780929121854,517.0
1.8283384941921692,522.0
1.8521973604798623,527.0
1.8776599764451953,530.0
1.9040226732006043,532.0
1.927603311129996,532.0
1.9537931315530734,532.0
1.9786689703679825,533.0
2.003262993391661,536.0
2.0266013092958026,537.0
2.0513388901050544,541.0
2.0747626657552196,540.0
2.101208194269402,547.0
2.1277588621251944,552.0
2.154283689000937,559.0
2.179261859702409,568.0
2.2041556008071774,576.0
2.2276603554480277,580.0
2.25237482214295,585.0
2.2770906026717266,590.0
2.301816195415103,592.0
2.3284436782130498,591.0
2.3557080061552393,590.0
2.3803254503730624,586.0
2.4076823474837994,588.0
2.432138000938005,591.0
2.455937901739121,592.0
2.4806913661750096,596.0
2.506197474339518,600.0
2.529844102061682,611.0
2.552468668075308,615.0
2.577965807713214,619.0
2.602051595585586,626.0
2.6260313866778655,629.0
2.6497224886976602,638.0
2.6750089351218778,644.0
2.700171855663079,647.0
2.7251770320841326,649.0
2.751420737433604,654.0
2.7760572725466526,660.0
2.8007019828570243,662.0
2.826300440671077,664.0
2.855387556283654,665.0
2.8803186759389168,667.0
2.9006112202435737,672.0
2.9270111498826723,678.0
2.938091316534626,676.0
2.9524786131651393,681.0
2.978607783831459,685.0
3.0037189538955484,691.0
3.0275046695317362,696.0
3.0450839201104127,701.0
3.067982367740808,708.0
3.0925212288307797,714.0
3.117531227697178,720.0
3.1414028104044944,725.0
3.166218868578751,733.0
3.1896257041047145,737.0
3.2131075887605594,748.0
